buckets,difference,ranges,holders
1,1000,0-1001,234
2,1000,1001-2001,38
3,1000,2001-3001,140
4,1001,3001-4002,44
5,1001,4002-5003,92
6,1002,5003-6005,60
7,1002,6005-7007,56
8,1003,7007-8010,16
9,1004,8010-9014,24
10,1006,9014-10020,81
11,1008,10020-11028,48
12,1012,11028-12040,122
13,1016,12040-13056,27
14,1023,13056-14079,25
15,1032,14079-15111,13
16,1044,15111-16155,15
17,1062,16155-17217,21
18,1087,17217-18304,12
19,1122,18304-19426,47
20,1171,19426-20597,18
21,1239,20597-21836,38
22,1335,21836-23171,14
23,1468,23171-24639,466
24,1656,24639-26295,46
25,1919,26295-28214,43
26,2285,28214-30499,31
27,2800,30499-33299,47
28,3520,33299-36819,86
29,4528,36819-41347,34
30,5939,41347-47286,214
31,7915,47286-55201,59
32,10681,55201-65882,87
33,14552,65882-80434,134
34,19974,80434-100408,122
35,27564,100408-127972,194
36,38189,127972-166161,91
37,53064,166161-219225,96
38,73890,219225-293115,257
39,103047,293115-396162,86
40,143864,396162-540026,124
41,201011,540026-741037,87
42,281015,741037-1022052,65
43,393021,1022052-1415073,45
44,549830,1415073-1964903,32
45,769361,1964903-2734264,37
46,1076706,2734264-3810970,20
47,1506989,3810970-5317959,18
48,2109383,5317959-7427342,9
49,2952737,7427342-10380079,9
50,4133432,10380079-14513511,7
51,5786405,14513511-20299916,10
52,8100566,20299916-28400482,4
53,11340393,28400482-39740875,3
54,15876151,39740875-55617026,2
55,22226210,55617026-77843236,3
56,31116295,77843236-108959531,2
57,43562412,108959531-152521943,0
58,60986978,152521943-213508921,0
59,85381368,213508921-298890289,3
60,119533516,298890289-418423805,0